chapter_key,chapter_name,chapter_type_code,university,district,region,status_code,is_dechartered
709,Omicron Beta,collegiate,Wesleyan University,North Carolina,Southern,Inactive,false
613,Omicron Beta Lambda,alumni,,Florida,Southern,Active,false
728,Omicron Chi,collegiate,Wofford College,South Carolina,Southern,Active,false
632,Omicron Chi Lambda,alumni,,,Southwestern,Dechartered,true
711,Omicron Delta,collegiate,,"Arizona, Nevada, New Mexico",Western,Dechartered,true
615,Omicron Delta Lambda,alumni,,Pennsylvania,Eastern,Active,false
712,Omicron Epsilon,collegiate,Youngstown State University,Ohio,Midwestern,Active,false
616,Omicron Epsilon Lambda,alumni,,Texas,Southwestern,Active,false
714,Omicron Eta,collegiate,,Southern California,Western,Dechartered,true
618,Omicron Eta Lambda,alumni,,"Washington DC, Maryland, Delaware",Eastern,Active,false
710,Omicron Gamma,collegiate,Millsaps College,Mississippi,Southern,Active,false
614,Omicron Gamma Lambda,alumni,,North Carolina,Southern,Dechartered,true
716,Omicron Iota,collegiate,DePaul University,Illinois,Midwestern,Dechartered,true
620,Omicron Iota Lambda,alumni,,South Carolina,Southern,Active,false
717,Omicron Kappa,collegiate,Auburn University,Alabama,Southern,Suspended,false
621,Omicron Kappa Lambda,alumni,,South Carolina,Southern,Active,false
114,Omicron Lambda,alumni,,Alabama,Southern,Active,false
500,Omicron Lambda Alpha,alumni,,"Washington DC, Maryland, Delaware",Eastern,Active,false
501,Omicron Lambda Beta,alumni,,Illinois,Midwestern,Dechartered,true
718,Omicron Mu,collegiate,,Michigan,Midwestern,Dechartered,true
622,Omicron Mu Lambda,alumni,,Georgia,Southern,Active,false
719,Omicron Nu,collegiate,University of Tulsa,Oklahoma,Southwestern,Dechartered,true
623,Omicron Nu Lambda,alumni,,Kentucky,Midwestern,Active,false
721,Omicron Omicron,collegiate,University of DC,"Washington DC, Maryland, Delaware",Eastern,Active,false
625,Omicron Omicron Lambda,alumni,,Georgia,Southern,Dechartered,true
727,Omicron Phi,collegiate,Tennessee Technological University,Tennessee,Southern,Active,false
631,Omicron Phi Lambda,alumni,,Georgia,Southern,Active,false
722,Omicron Pi,collegiate,Iowa State University,Iowa,Midwestern,Inactive,false
626,Omicron Pi Lambda,alumni,,Georgia,Southern,Dechartered,true
729,Omicron Psi,collegiate,Delta State University,Mississippi,Southern,Active,false
633,Omicron Psi Lambda,alumni,,Louisiana,Southwestern,Active,false
723,Omicron Rho,collegiate,Ohio Wesleyan University,Ohio,Midwestern,Active,false
627,Omicron Rho Lambda,alumni,,Mississippi,Southern,Active,false
724,Omicron Sigma,collegiate,Birmingham Southern College,Alabama,Southern,Dechartered,true
628,Omicron Sigma Lambda,alumni,,Tennessee,Southern,Active,false
725,Omicron Tau,collegiate,Colorado State University,Rocky Mountain (Colorado/Utah),Western,Active,false
629,Omicron Tau Lambda,alumni,,South Carolina,Southern,Active,false
715,Omicron Theta,collegiate,University of NC at Wilmington,North Carolina,Southern,Active,false
619,Omicron Theta Lambda,alumni,,Northern California,Western,Active,false
726,Omicron Upsilon,collegiate,Rensselaer Polytechnic Inst,New York,Eastern,Active,false
630,Omicron Upsilon Lambda,alumni,,Florida,Southern,Active,false
720,Omicron Xi,collegiate,Roosevelt University,Illinois,Midwestern,Active,false
624,Omicron Xi Lambda,alumni,,Missouri,Midwestern,Active,false
713,Omicron Zeta,collegiate,Fairleigh Dickinson University,New Jersey,Eastern,Inactive,false
617,Omicron Zeta Lambda,alumni,,Arkansas,Southwestern,Active,false
20,Phi,collegiate,Ohio University,Ohio,Midwestern,Inactive,false
847,Phi Alpha,collegiate,Virginia Wesleyan University,Virginia,Eastern,Inactive,false
848,Phi Beta,collegiate,"University of Nevada, Reno","Arizona, Nevada, New Mexico",Western,Active,false
900,Phi Chi,alumni,,"Washington DC, Maryland, Delaware",Eastern,Inactive,false
850,Phi Delta,collegiate,Johnson & Wales University,North Carolina,Southern,Inactive,false
851,Phi Epsilon,collegiate,University of Southern Indiana,Indiana,Midwestern,Inactive,false
854,Phi Eta,collegiate,Seton Hall University,New Jersey,Eastern,Active,false
849,Phi Gamma,collegiate,Methodist University,North Carolina,Southern,Active,false
856,Phi Iota,collegiate,McDaniel College,"Washington DC, Maryland, Delaware",Eastern,Active,false
857,Phi Kappa,collegiate,Iona College,New York,Eastern,Inactive,false
120,Phi Lambda,alumni,,North Carolina,Southern,Active,false
864,Phi Mu,collegiate,University of Bahamas,Florida,Southern,Active,false
865,Phi Nu,collegiate,National Louis University,Illinois,Midwestern,Active,false
879,Phi Omicron,collegiate,Buffalo State College,New York,Eastern,Active,false
896,Phi Phi,collegiate,Chapman University,Southern California,Western,Provisional/College,false
880,Phi Pi,collegiate,High Point University,North Carolina,Southern,Active,false
881,Phi Rho,collegiate,Northeastern Illinois University,Illinois,Midwestern,Active,false
882,Phi Sigma,collegiate,California State University,Southern California,Western,Active,false
883,Phi Tau,collegiate,Gordon State College,Georgia,Southern,Provisional/College,false
855,Phi Theta,collegiate,Stevens Institute of Technology,New Jersey,Eastern,Active,false
888,Phi Upsilon,collegiate,University of LaVerne,Southern California,Western,Active,false
866,Phi Xi,collegiate,Georgia Gwinnett College,Georgia,Southern,Active,false
853,Phi Zeta,collegiate,Radford University,Virginia,Eastern,Active,false
15,Pi,collegiate,Case Western Reserve University,Ohio,Midwestern,Active,false
